Date,open,high,close,low,volume,macd,macdsignal,rsi,stoch,ma1,ma2,ma3,ema,cci,bblower,bbupper,roc,atr
2018-07-01T21:00,6349.30,6363.30,6338.00,6322.00,1472,7.97,55.58,57.74,8.04,6205.06,6176.51,6321.23,6345.14,43.78,5761.24,6660.87,-0.01,105.47
2018-07-02T01:00,6338.00,6350.00,6340.30,6275.00,2528,4.37,56.67,57.90,9.63,6217.21,6185.18,6351.41,6350.89,33.53,5801.05,6670.28,0,103.29
2018-07-02T05:00,6340.30,6369.00,6341.20,6312.20,2846,1.42,57.02,57.97,10.33,6240.69,6193.37,6360.28,6355.71,36.73,5835.29,6682.54,-0.01,99.97
2018-07-02T09:00,6341.10,6681.10,6629.00,6327.30,14382,17.34,61.36,73.12,100.00,6276.54,6210.69,6377.22,6409.53,127.03,5854.55,6736.26,0.04,118.1
2018-07-02T13:00,6629.00,6680.50,6625.90,6604.26,3863,25.66,67.78,72.81,98.09,6311.14,6226.65,6391.42,6455.27,193.58,5881.85,6784.20,0.04,115.11
2018-07-02T17:00,6625.80,6663.60,6617.60,6608.10,1590,28.38,74.87,71.95,92.77,6346.58,6242.80,6406.05,6493.05,203.22,5908.88,6828.37,0.04,110.85
2018-07-02T21:00,6617.80,6659.40,6633.50,6601.00,2509,28.93,82.10,72.62,96.91,6381.24,6260.74,6422.95,6528.07,181.82,5940.10,6871.73,0.05,107.11
2018-07-03T01:00,6633.50,6675.20,6644.90,6609.90,2029,27.73,89.04,73.12,100.00,6417.30,6278.30,6444.04,6559.85,151.19,5957.71,6897.80,0.05,104.12
2018-07-03T05:00,6644.20,6644.86,6584.00,6539.00,4335,20.83,94.24,66.22,57.38,6435.20,6294.14,6456.87,6576.25,96.48,5986.02,6890.40,0.04,104.25
2018-07-03T09:00,6580.20,6590.00,6583.60,6550.00,1902,14.53,97.88,66.17,57.07,6445.13,6310.21,6472.37,6589.80,76.21,6016.96,6876.53,0.04,99.66
2018-07-03T13:00,6583.60,6651.10,6606.90,6547.00,1946,10.41,100.48,67.53,65.47,6454.37,6327.60,6487.73,6604.99,80.66,6044.94,6869.42,0.04,99.98
2018-07-03T17:00,6606.90,6626.50,6509.00,6470.50,4393,0.12,100.51,57.15,0.13,6459.65,6349.63,6496.46,6600.57,39.98,6069.92,6857.35,0.03,103.98
2018-07-03T21:00,6509.10,6515.70,6468.60,6414.10,3642,-9.83,98.05,53.49,0.00,6463.87,6369.38,6506.37,6589.15,-0.68,6088.73,6852.54,-0.02,103.81
2018-07-04T01:00,6468.70,6507.00,6479.00,6460.00,1625,-15.78,94.11,54.30,4.13,6471.03,6388.70,6516.75,6580.52,5.60,6111.64,6838.38,-0.02,99.75
2018-07-04T05:00,6478.20,6553.70,6525.70,6476.00,4243,-16.56,89.97,57.85,22.21,6477.42,6410.44,6528.48,6580.65,23.24,6132.48,6835.00,-0.01,98.18
2018-07-04T09:00,6525.90,6784.90,6679.50,6518.60,7669,-7.19,88.17,66.96,68.62,6493.06,6436.24,6551.25,6607.00,98.33,6152.86,6844.93,0.01,110.18
2018-07-04T13:00,6683.00,6710.00,6688.23,6651.00,2171,-1.18,87.88,67.39,70.81,6507.91,6462.92,6574.44,6630.89,102.21,6172.76,6856.04,0.01,106.53
2018-07-04T17:00,6688.80,6704.80,6590.00,6562.00,2852,-4.43,86.77,58.20,23.99,6518.00,6475.65,6591.03,6634.06,59.60,6191.30,6864.50,0,109.12
2018-07-04T21:00,6589.90,6704.70,6619.60,6525.00,3299,-5.13,85.49,59.97,33.01,6532.26,6483.81,6590.40,6641.45,53.53,6209.98,6875.45,0.01,114.16
2018-07-05T01:00,6620.30,6668.00,6616.50,6569.40,1928,-6.28,83.92,59.68,31.53,6546.23,6490.60,6589.78,6646.84,49.90,6229.15,6882.96,0,113.05
2018-07-05T05:00,6616.43,6687.70,6617.60,6546.60,3373,-7.36,82.08,59.76,31.94,6558.98,6497.91,6589.78,6651.24,44.73,6247.39,6892.67,0.02,115.05
2018-07-05T09:00,6617.60,6667.00,6611.60,6544.20,6443,-8.79,79.88,59.13,40.17,6572.01,6505.63,6588.32,6653.55,29.54,6264.12,6903.07,0.02,115.61
2018-07-05T13:00,6611.60,6643.00,6508.60,6423.40,5755,-16.52,75.75,49.48,0.00,6580.03,6511.63,6579.23,6637.24,-89.63,6272.44,6911.50,0,123.03
2018-07-05T17:00,6507.60,6558.10,6532.40,6482.00,2011,-19.68,70.83,51.45,10.91,6589.13,6516.33,6575.79,6626.83,-86.90,6303.52,6870.76,0,119.68
2018-07-05T21:00,6532.40,6552.40,6532.30,6510.60,1271,-21.28,65.51,51.44,10.94,6584.53,6522.37,6572.37,6617.42,-67.61,6329.89,6835.02,-0.02,114.12
