Date,High,Low,Open,Close,Volume,Macd,Macdsignal,rsi,bull_rsi,bear_rsi,stochK,stochD,ema21,ema50,ema100,ema200,bblower,bbupper,cci,roc,atr,adx,di_minus,di_plus
2017-10-29T14:00,6154.80,5950.00,6008.60,6153.90,10040,35.68,9.59,68.92,74.97,66.80,79.87,61.2,5816.91,5767.95,5597.55,5219.6,5584.76,6055.15,212.16,0.07,149.33,15.15,13.08,30.09
2017-10-29T18:00,6345.00,6112.20,6154.00,6152.00,22587,44.97,20.83,68.78,74.76,66.68,85.29,75.71,5847.38,5783.01,5608.53,5228.87,5558.19,6103.96,244.08,0.08,155.3,17.69,11.68,35.62
2017-10-29T22:00,6200.00,6100.10,6150.00,6168.00,6538,49.26,33.15,69.35,75.42,67.21,82.64,82.6,5876.52,5798.11,5619.6,5238.22,5535.52,6153.96,176.98,0.09,151.34,19.91,11.7,33.94
2017-10-30T02:00,6203.90,6111.00,6168.00,6150.90,4808,47.97,45.14,67.92,73.16,66.01,73.63,80.52,5901.47,5811.94,5630.13,5247.3,5521.23,6194.35,146.71,0.07,147.16,21.98,11.17,32.6
2017-10-30T06:00,6239.00,6132.00,6151.00,6166.00,5419,45.21,56.44,68.53,73.92,66.57,74.28,76.85,5925.52,5825.83,5640.74,5256.44,5508.2,6231.5,136.38,0.08,144.3,24.05,10.58,32.61
2017-10-30T10:00,6193.80,6006.20,6162.30,6079.90,9741,35.09,65.22,61.28,62.61,60.50,70.16,72.69,5939.55,5835.79,5649.43,5264.64,5506.9,6253.08,85.67,0.06,147.39,24.53,15.71,29.64
2017-10-30T14:00,6150.00,6027.10,6080.00,6075.00,4272,26.01,71.72,60.88,62.01,60.16,66.61,70.35,5951.86,5845.17,5657.86,5272.7,5510.79,6274,72.46,0.05,145.64,24.97,14.77,27.86
2017-10-30T18:00,6149.00,6075.00,6076.00,6128.20,2213,21.69,77.14,63.62,65.95,62.55,64.43,67.07,5967.89,5856.27,5667.17,5281.22,5522.38,6300.22,75.46,0.06,140.52,25.38,14.21,26.81
2017-10-30T22:00,6170.10,6120.00,6127.90,6132.20,2210,17.40,81.49,63.83,66.24,62.73,66.47,65.84,5982.83,5867.09,5676.38,5289.68,5539.7,6322.61,75.35,0.02,134.06,25.9,13.83,27.22
2017-10-31T02:00,6175.90,6082.50,6132.20,6094.90,2382,10.67,84.16,60.41,60.83,59.88,66.92,65.94,5993.02,5876.02,5684.67,5297.7,5558.56,6337.27,61.09,-0.01,131.16,25.9,15.17,25.83
2017-10-31T06:00,6249.00,6090.20,6094.90,6245.40,4639,14.74,87.84,67.89,71.33,66.44,72.31,68.57,6015.96,5890.51,5695.77,5307.13,5581.05,6368.43,80.54,0.02,133.13,26.41,13.88,27.55
2017-10-31T10:00,6450.00,6186.10,6245.40,6360.00,14574,23.02,93.60,72.20,76.63,70.38,78.32,72.52,6047.24,5908.92,5708.93,5317.6,5588.44,6419.98,118.04,0.03,142.47,27.93,12.04,33.99
2017-10-31T14:00,6431.00,6283.00,6360.30,6349.80,9270,25.51,99.97,71.28,75.25,69.61,85.66,78.76,6074.74,5926.21,5721.62,5327.87,5625.28,6450.74,118.95,0.03,142.87,29.34,11.15,31.47
2017-10-31T18:00,6481.50,6346.20,6350.00,6455.10,5432,31.53,107.86,74.84,79.48,72.89,89.17,84.38,6109.32,5946.95,5736.14,5339.09,5659.73,6493.59,141.85,0.05,142.33,30.87,10.39,31.87
2017-10-31T22:00,6455.00,6368.00,6450.10,6411.80,6366,29.91,115.34,70.95,73.73,69.59,88.62,87.82,6136.82,5965.18,5749.52,5349.76,5693.16,6524.71,131.5,0.05,138.38,32.3,9.93,30.44
2017-11-01T02:00,6415.30,6344.50,6414.50,6388.80,6366,24.81,121.54,68.90,70.71,67.85,86.96,88.25,6159.73,5981.79,5762.18,5360.1,5750.12,6534.6,113.41,0.05,133.56,33.28,10.81,29.28
2017-11-01T06:00,6592.80,6388.80,6389.00,6562.40,13327,30.28,129.11,74.81,78.20,73.24,86.88,87.49,6196.33,6004.56,5778.03,5372.07,5802.17,6566.88,158.72,0.07,138.59,34.98,9.67,35.35
2017-11-01T10:00,6566.20,6441.00,6562.50,6549.00,11214,30.09,136.63,73.65,76.52,72.24,89.28,87.71,6228.39,6025.91,5793.29,5383.78,5848.04,6594.81,140.04,0.07,137.63,36.56,9.04,33.06
2017-11-01T14:00,6619.90,6527.60,6548.90,6596.20,10027,30.16,144.17,75.11,78.34,73.59,94.5,90.22,6261.83,6048.28,5809.19,5395.84,5906.49,6615.89,144.94,0.08,134.39,38.22,8.6,34.29
